number,name,startTime,endTime,isDaytime,temperature,temperatureUnit,temperatureTrend,probabilityOfPrecipitation,dewpoint,relativeHumidity,windSpeed,windDirection,icon,shortForecast,detailedForecast
1,,2025-11-10T18:00:00-05:00,2025-11-10T19:00:00-05:00,False,40,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 48}",14 mph,NW,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear,
2,,2025-11-10T19:00:00-05:00,2025-11-10T20:00:00-05:00,False,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -5}","{'unitCode': 'wmoUnit:percent', 'value': 54}",13 mph,NW,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear,
3,,2025-11-10T20:00:00-05:00,2025-11-10T21:00:00-05:00,False,36,F,,"{'unitCode': 'wmoUnit:percent', 'value': 3}","{'unitCode': 'wmoUnit:degC', 'value': -5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 56}",13 mph,NW,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear,
4,,2025-11-10T21:00:00-05:00,2025-11-10T22:00:00-05:00,False,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': -5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 61}",13 mph,NW,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
5,,2025-11-10T22:00:00-05:00,2025-11-10T23:00:00-05:00,False,33,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 58}",13 mph,NW,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
6,,2025-11-10T23:00:00-05:00,2025-11-11T00:00:00-05:00,False,33,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 58}",13 mph,NW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
7,,2025-11-11T00:00:00-05:00,2025-11-11T01:00:00-05:00,False,32,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 58}",13 mph,NW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
8,,2025-11-11T01:00:00-05:00,2025-11-11T02:00:00-05:00,False,31,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 63}",13 mph,W,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
9,,2025-11-11T02:00:00-05:00,2025-11-11T03:00:00-05:00,False,31,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -7.777777777777778}","{'unitCode': 'wmoUnit:percent', 'value': 58}",14 mph,W,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
10,,2025-11-11T03:00:00-05:00,2025-11-11T04:00:00-05:00,False,30,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 58}",15 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
11,,2025-11-11T04:00:00-05:00,2025-11-11T05:00:00-05:00,False,29,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 58}",15 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
12,,2025-11-11T05:00:00-05:00,2025-11-11T06:00:00-05:00,False,29,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': -8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 58}",15 mph,W,https://api.weather.gov/icons/land/night/few?size=small,Mostly Clear,
13,,2025-11-11T06:00:00-05:00,2025-11-11T07:00:00-05:00,True,28,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': -9.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 58}",15 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
14,,2025-11-11T07:00:00-05:00,2025-11-11T08:00:00-05:00,True,27,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': -10}","{'unitCode': 'wmoUnit:percent', 'value': 57}",14 mph,W,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny,
15,,2025-11-11T08:00:00-05:00,2025-11-11T09:00:00-05:00,True,29,F,,"{'unitCode': 'wmoUnit:percent', 'value': 3}","{'unitCode': 'wmoUnit:degC', 'value': -9.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 55}",16 mph,W,https://api.weather.gov/icons/land/day/bkn?size=small,Mostly Cloudy,
16,,2025-11-11T09:00:00-05:00,2025-11-11T10:00:00-05:00,True,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 2}","{'unitCode': 'wmoUnit:degC', 'value': -8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 47}",18 mph,W,https://api.weather.gov/icons/land/day/bkn?size=small,Mostly Cloudy,
17,,2025-11-11T10:00:00-05:00,2025-11-11T11:00:00-05:00,True,36,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -8.88888888888889}","{'unitCode': 'wmoUnit:percent', 'value': 43}",20 mph,W,https://api.weather.gov/icons/land/day/bkn?size=small,Mostly Cloudy,
18,,2025-11-11T11:00:00-05:00,2025-11-11T12:00:00-05:00,True,39,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 40}",21 mph,W,https://api.weather.gov/icons/land/day/wind_sct?size=small,Mostly Sunny,
19,,2025-11-11T12:00:00-05:00,2025-11-11T13:00:00-05:00,True,41,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -8.333333333333334}","{'unitCode': 'wmoUnit:percent', 'value': 37}",21 mph,W,https://api.weather.gov/icons/land/day/wind_few?size=small,Sunny,
20,,2025-11-11T13:00:00-05:00,2025-11-11T14:00:00-05:00,True,43,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 38}",21 mph,W,https://api.weather.gov/icons/land/day/wind_few?size=small,Sunny,
21,,2025-11-11T14:00:00-05:00,2025-11-11T15:00:00-05:00,True,43,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 39}",20 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
22,,2025-11-11T15:00:00-05:00,2025-11-11T16:00:00-05:00,True,45,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 36}",18 mph,W,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny,
23,,2025-11-11T16:00:00-05:00,2025-11-11T17:00:00-05:00,True,44,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 39}",17 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
24,,2025-11-11T17:00:00-05:00,2025-11-11T18:00:00-05:00,True,42,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 43}",14 mph,W,https://api.weather.gov/icons/land/day/skc?size=small,Sunny,
25,,2025-11-11T18:00:00-05:00,2025-11-11T19:00:00-05:00,False,39,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 48}",10 mph,W,https://api.weather.gov/icons/land/night/skc?size=small,Clear,
26,,2025-11-11T19:00:00-05:00,2025-11-11T20:00:00-05:00,False,38,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 48}",8 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
27,,2025-11-11T20:00:00-05:00,2025-11-11T21:00:00-05:00,False,37,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 50}",7 mph,SW,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
28,,2025-11-11T21:00:00-05:00,2025-11-11T22:00:00-05:00,False,36,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 52}",7 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
29,,2025-11-11T22:00:00-05:00,2025-11-11T23:00:00-05:00,False,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 56}",9 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
30,,2025-11-11T23:00:00-05:00,2025-11-12T00:00:00-05:00,False,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 56}",7 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
31,,2025-11-12T00:00:00-05:00,2025-11-12T01:00:00-05:00,False,33,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 56}",7 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
32,,2025-11-12T01:00:00-05:00,2025-11-12T02:00:00-05:00,False,33,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 56}",10 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
33,,2025-11-12T02:00:00-05:00,2025-11-12T03:00:00-05:00,False,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 54}",8 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
34,,2025-11-12T03:00:00-05:00,2025-11-12T04:00:00-05:00,False,34,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 54}",9 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
35,,2025-11-12T04:00:00-05:00,2025-11-12T05:00:00-05:00,False,35,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -7.222222222222222}","{'unitCode': 'wmoUnit:percent', 'value': 52}",12 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
36,,2025-11-12T05:00:00-05:00,2025-11-12T06:00:00-05:00,False,35,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 54}",12 mph,SW,https://api.weather.gov/icons/land/night/bkn?size=small,Mostly Cloudy,
37,,2025-11-12T06:00:00-05:00,2025-11-12T07:00:00-05:00,True,36,F,,"{'unitCode': 'wmoUnit:percent', 'value': 1}","{'unitCode': 'wmoUnit:degC', 'value': -6.666666666666667}","{'unitCode': 'wmoUnit:percent', 'value': 52}",12 mph,SW,https://api.weather.gov/icons/land/day/bkn?size=small,Partly Sunny,
38,,2025-11-12T07:00:00-05:00,2025-11-12T08:00:00-05:00,True,37,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -6.111111111111111}","{'unitCode': 'wmoUnit:percent', 'value': 52}",13 mph,SW,https://api.weather.gov/icons/land/day/bkn?size=small,Partly Sunny,
39,,2025-11-12T08:00:00-05:00,2025-11-12T09:00:00-05:00,True,39,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -5.555555555555555}","{'unitCode': 'wmoUnit:percent', 'value': 50}",13 mph,SW,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny,
40,,2025-11-12T09:00:00-05:00,2025-11-12T10:00:00-05:00,True,42,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -4.444444444444445}","{'unitCode': 'wmoUnit:percent', 'value': 48}",13 mph,SW,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
41,,2025-11-12T10:00:00-05:00,2025-11-12T11:00:00-05:00,True,46,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -3.3333333333333335}","{'unitCode': 'wmoUnit:percent', 'value': 45}",15 mph,SW,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
42,,2025-11-12T11:00:00-05:00,2025-11-12T12:00:00-05:00,True,49,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -2.2222222222222223}","{'unitCode': 'wmoUnit:percent', 'value': 44}",14 mph,SW,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
43,,2025-11-12T12:00:00-05:00,2025-11-12T13:00:00-05:00,True,53,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 41}",14 mph,SW,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
44,,2025-11-12T13:00:00-05:00,2025-11-12T14:00:00-05:00,True,55,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': -0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 40}",15 mph,SW,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny,
45,,2025-11-12T14:00:00-05:00,2025-11-12T15:00:00-05:00,True,57,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0}","{'unitCode': 'wmoUnit:percent', 'value': 38}",14 mph,W,https://api.weather.gov/icons/land/day/sct?size=small,Mostly Sunny,
46,,2025-11-12T15:00:00-05:00,2025-11-12T16:00:00-05:00,True,57,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 40}",14 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
47,,2025-11-12T16:00:00-05:00,2025-11-12T17:00:00-05:00,True,56,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 42}",14 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
48,,2025-11-12T17:00:00-05:00,2025-11-12T18:00:00-05:00,True,54,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 46}",12 mph,W,https://api.weather.gov/icons/land/day/few?size=small,Sunny,
49,,2025-11-12T18:00:00-05:00,2025-11-12T19:00:00-05:00,False,52,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 1.1111111111111112}","{'unitCode': 'wmoUnit:percent', 'value': 50}",10 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
50,,2025-11-12T19:00:00-05:00,2025-11-12T20:00:00-05:00,False,49,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 54}",9 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
51,,2025-11-12T20:00:00-05:00,2025-11-12T21:00:00-05:00,False,47,F,,"{'unitCode': 'wmoUnit:percent', 'value': 0}","{'unitCode': 'wmoUnit:degC', 'value': 0.5555555555555556}","{'unitCode': 'wmoUnit:percent', 'value': 58}",8 mph,W,https://api.weather.gov/icons/land/night/sct?size=small,Partly Cloudy,
